,event,nHits,hitTime,isDN,pmt_id,pmt_x,pmt_y,pmt_z
87767064,22,12466,180.81175,False,15510,3791.7402,-18188.568,-4841.353
87777624,22,12466,69.5092,True,16923,-14690.843,12249.947,-1660.7045
87841777,22,12466,231.45534,False,2288,10367.726999999999,-7744.9263,14183.3125
87857906,22,12466,236.82092,False,6275,9704.759,-15553.433,5705.118
87863306,22,12466,193.74968,False,5022,-13049.992,-11390.954,8281.537
87879023,22,12466,150.83025,False,3940,11767.233,-10772.073999999999,10683.382
87889138,22,12466,131.12321,False,10450,-1688.5088,11022.003,-15630.239
87894233,22,12466,438.40613,False,9394,-701.83563,6498.1265,-18053.305
87899171,22,12466,148.79233,False,8236,12044.555,-14859.702,1660.7045
87904529,22,12466,231.00043,False,7587,13315.226,-13501.617,3008.5063
87915137,22,12466,128.11855,False,218,-4606.9805,797.26935,18622.033
87925483,22,12466,124.799576,False,3685,-15000.249,4640.774,11049.694
87963199,22,12466,151.7473,False,4865,7271.4766,-15503.985,8682.860999999999
87968630,22,12466,340.42276,True,12088,2354.8176,-14699.771,-12124.832
88029935,22,12466,141.92764,False,1024,262.41333,-9185.665,16858.074
88076431,22,12466,155.33214,False,7060,-18685.852,-1926.9905,3970.5962
88081806,22,12466,134.80783,False,3054,11388.657,-9055.886,12527.146999999999
88092071,22,12466,144.14159,False,1140,3730.2129999999997,-8826.743,16637.732
88122770,22,12466,84.51869,False,1164,9818.798,1699.21,16411.7
88148751,22,12466,345.1521,False,6270,6828.754,-17013.516,5705.118
88186979,22,12466,114.48837,False,594,6085.427,-3513.4226,17867.945
88232138,22,12466,174.59125,False,4303,8611.343,-14039.867,9867.466999999999
88237401,22,12466,108.650345,False,4782,-13757.056,10197.615,8682.860999999999
88237402,22,12466,404.86038,True,4782,-13757.056,10197.615,8682.860999999999
88258202,22,12466,96.229225,False,17361,-8970.162,16958.785,-758.8111
88279945,22,12466,173.71745,False,16789,2644.2490000000003,-18899.525,-2110.8958
88295947,22,12466,118.195404,False,7379,18010.129,-5686.2183,3455.7495
88301340,22,12466,167.50648,False,10222,-7898.314,6780.48,-16133.249
88327495,22,12466,276.51688,False,3928,6299.593000000001,-14656.756000000001,10683.382
88343207,22,12466,212.8286,False,6703,10743.531,-15158.425,4841.353
88354022,22,12466,174.22878,False,5262,8915.487,-15069.78,7877.552
88369736,22,12466,181.6615,False,7578,9557.407,-16378.183,3008.5063
88380447,22,12466,256.15924,False,4121,13201.736,-9379.648000000001,10313.892
88380448,22,12466,170.7842,False,4121,13201.736,-9379.648000000001,10313.892
88406569,22,12466,170.22672,False,6090,13860.606000000002,-11785.39,6134.181
88422712,22,12466,441.94156,False,5848,-9098.498,-15582.464,6560.803000000001
88453315,22,12466,773.3022,True,5273,13551.653,-11087.69,7877.552
88485092,22,12466,212.84781,False,7287,-18161.234,-5183.373,3455.7495
88511691,22,12466,-6.5447536,True,17058,19061.55,-1593.5277,-1660.7045
88542908,22,12466,162.53078,False,2469,13050.535,3985.2502,13507.083999999999
88558977,22,12466,116.464226,False,12987,16436.873,1049.9109,-9867.466999999999
88564223,22,12466,134.8097,False,14732,17485.26,-4456.633,-6560.803000000001
88611075,22,12466,175.73047,False,17247,8723.018,-17061.215,-1209.9257
88626979,22,12466,451.9536,False,10671,1315.983,11847.923,-15051.076000000001
88632088,22,12466,151.00778,False,13336,13254.6455,-10156.661,-9476.107
88632089,22,12466,165.91237,False,13336,13254.6455,-10156.661,-9476.107
88632090,22,12466,227.36186,True,13336,13254.6455,-10156.661,-9476.107
88667790,22,12466,123.71428,False,2149,10874.863000000001,-6385.995,14477.445
88673028,22,12466,6.959754,True,10943,7547.483,10103.419,-14477.445
88678087,22,12466,111.052925,False,7384,18624.29,-3135.8618,3455.7495
88703429,22,12466,431.0091,False,12089,2872.1272,-14607.51,-12124.832
88708786,22,12466,118.72248,False,3,6.423399e-14,1049.0206,19171.32
88708787,22,12466,164.8746,False,3,6.423399e-14,1049.0206,19171.32
88713279,22,12466,185.89975,False,663,-278.30563,-7437.8745,17698.604
88713280,22,12466,168.25066,False,663,-278.30563,-7437.8745,17698.604
88713281,22,12466,152.92729,False,663,-278.30563,-7437.8745,17698.604
88734411,22,12466,150.39418,False,7817,14614.417,-12186.22,2560.2473
88745244,22,12466,200.90385,False,8255,17892.273,-6763.7695,1660.7045
88756049,22,12466,58.562477,False,8551,-266.67926,19183.146,758.8111
88756050,22,12466,57.78701,False,8551,-266.67926,19183.146,758.8111
88761793,22,12466,167.4961,False,8787,-5779.8813,18306.79,307.27652
88772862,22,12466,214.93156,False,9267,4763.0796,2968.8503,-18361.346
88777764,22,12466,169.40569,False,9318,4763.0796,-2968.8503,-18361.346
88782862,22,12466,330.96048,True,9347,-5837.0109999999995,1813.5878,-18201.104
88792794,22,12466,94.737,False,13231,-3826.9666,16254.16,-9476.107
88834652,22,12466,310.1792,False,6714,14999.078000000001,-10964.896,4841.353
88845444,22,12466,811.2713,True,5683,13959.116000000002,-11179.997,6985.0376
88902620,22,12466,-48.916687,True,8238,12851.765,-14167.364,1660.7045
88918986,22,12466,178.53996,False,15740,11466.701000000001,-14755.926000000001,-4406.5186
88929048,22,12466,146.57072,False,1038,6770.2183,-6213.65,16858.074
88954724,22,12466,210.54239,False,5679,12552.966,-12738.614,6985.0376
88975549,22,12466,147.4751,False,8240,13619.251,-13431.235,1660.7045
88986012,22,12466,388.51212,True,9599,2458.2932,-7025.3984,-17698.604
88991322,22,12466,206.30185,False,9266,5038.9956,2471.7454,-18361.346
89012377,22,12466,163.9213,False,3729,-4904.7827,-14916.01,11049.694
89049087,22,12466,146.23288,False,7038,-16081.293,9709.087,3970.5962
89049088,22,12466,139.10828,False,7038,-16081.293,9709.087,3970.5962
89049089,22,12466,182.88364,False,7038,-16081.293,9709.087,3970.5962
89054444,22,12466,138.319,False,6498,14064.518,-11958.7705,5274.196
89085407,22,12466,377.87912,True,6927,14586.007,-11682.08,4406.5186
89117432,22,12466,257.89966,False,3580,9808.337,-11924.6455,11412.245
89122480,22,12466,86.66377,False,6953,18685.852,1926.9905,3970.5962
89122481,22,12466,98.54017,False,6953,18685.852,1926.9905,3970.5962
89128098,22,12466,508.55124,True,3428,15430.61,544.9082599999999,11412.245
89165171,22,12466,159.77635,False,1997,7124.604,-9990.924,14766.903999999999
89170541,22,12466,90.82131,True,3581,10223.065,-11571.067,11412.245
89258344,22,12466,201.85005,False,3391,4738.285,-14409.671,11770.728000000001
89274328,22,12466,114.90434,False,6103,17415.152,-5265.385,6134.181
89274329,22,12466,123.66991,False,6103,17415.152,-5265.385,6134.181
89274330,22,12466,412.75974,True,6103,17415.152,-5265.385,6134.181
89295021,22,12466,128.76868,True,6930,15557.112,-10353.6875,4406.5186
89300497,22,12466,135.52754,False,10529,11324.553999999998,2029.711,-15371.231000000002
89332176,22,12466,117.86517,False,17728,18385.363,-5524.851,-307.27652
89342261,22,12466,149.13902,False,1496,4502.98,-9800.353000000001,15884.466
89352644,22,12466,133.97345,False,1373,4584.2954,-9345.722,16133.249
89357852,22,12466,92.354225,False,686,7853.2734,1056.1625,17488.586
89357853,22,12466,201.35765,True,686,7853.2734,1056.1625,17488.586
89363130,22,12466,265.5147,False,3595,14488.245,-5337.7344,11412.245
89363131,22,12466,110.87616,False,3595,14488.245,-5337.7344,11412.245
89384103,22,12466,217.82544,False,16595,8425.989,-17061.297,-2560.2473
